iter	Passed	Remaining
0	1215	120335
1	2397	117467
2	3562	115179
3	4794	115076
4	5959	113222
5	7117	111507
6	8279	109999
7	9443	108603
8	10610	107285
9	11769	105926
10	12939	104690
11	14109	103466
12	15318	102519
13	16544	101628
14	17761	100647
15	18945	99464
16	20140	98334
17	21395	97467
18	22807	97233
19	24109	96437
20	25327	95278
21	26495	93940
22	27654	92583
23	28846	91348
24	30073	90219
25	31254	88956
26	32433	87691
27	33604	86412
28	34767	85120
29	35937	83855
30	37116	82615
31	38296	81380
32	39514	80225
33	40784	79170
34	42066	78124
35	43297	76973
36	44510	75787
37	45700	74564
38	46881	73328
39	48084	72126
40	49297	70940
41	50485	69717
42	51672	68496
43	52849	67262
44	54046	66056
45	55214	64817
46	56388	63586
47	57575	62373
48	58751	61149
49	59934	59934
50	61109	58712
51	62269	57479
52	63589	56391
53	64804	55203
54	65991	53992
55	67174	52780
56	68348	51561
57	69539	50356
58	70718	49143
59	71889	47926
60	73083	46725
61	74261	45515
62	75447	44310
63	76627	43103
64	77813	41899
65	78982	40687
66	80161	39482
67	81325	38270
68	82517	37072
69	83702	35872
70	84894	34675
71	86056	33466
72	87218	32258
73	88413	31064
74	89601	29867
75	90790	28670
76	91972	27472
77	93149	26273
78	94328	25074
79	95499	23874
80	96655	22672
81	97828	21474
82	99024	20282
83	100188	19083
84	101377	17890
85	102556	16695
86	103774	15506
87	104947	14310
88	106132	13117
89	107346	11927
90	108537	10734
91	109701	9539
92	110864	8344
93	112038	7151
94	113213	5958
95	114395	4766
96	115572	3574
97	116727	2382
98	117908	1190
99	119078	0
